exp_id,gas_type,speed,temp_inside,temp_outside,AC,rain,sun,weather_mix,consume_rate,consume
1,E10,26,21.5,12.0,0,0,0,ac OFF,0.18,5.0
2,E10,30,21.5,13.0,0,0,0,ac OFF,0.35,4.2
3,E10,38,21.5,15.0,0,0,0,ac OFF,0.49,5.5
4,E10,36,21.5,14.0,0,0,0,ac OFF,0.3,3.9
5,E10,46,21.5,15.0,0,0,0,ac OFF,0.24,4.5
7,E10,43,21.5,11.0,0,0,0,ac OFF,0.56,4.4
8,E10,40,21.5,6.0,0,0,0,ac OFF,0.41,5.0
10,E10,30,21.5,9.0,0,0,0,ac OFF,0.45,5.3
11,E10,42,21.5,4.0,0,0,0,ac OFF,0.45,5.6
12,E10,38,21.5,0.0,0,0,0,ac OFF,0.39,4.6
13,E10,59,21.5,10.0,0,0,0,ac OFF,0.48,5.9
14,E10,58,21.5,12.0,0,0,0,ac OFF,0.21,5.1
15,E10,46,21.5,11.0,0,0,0,ac OFF,0.38,4.7
16,E10,24,21.5,5.0,0,0,0,ac OFF,0.29,5.1
17,E10,36,21.5,3.0,0,0,0,ac OFF,0.17,5.6
18,E10,32,21.5,3.0,0,0,0,ac OFF,0.43,5.1
19,E10,39,21.5,8.0,0,0,0,ac OFF,0.19,4.9
20,E10,40,21.5,4.0,0,0,0,ac OFF,0.4,4.7
21,E10,32,21.5,3.0,0,0,0,ac OFF,0.22,5.5
22,E10,38,21.5,1.0,0,0,0,ac OFF,0.42,5.9
23,E10,37,21.5,1.0,0,0,0,ac OFF,0.32,5.7
24,E10,36,21.5,1.0,0,0,0,ac OFF,0.4,4.7
25,E10,62,21.5,6.0,0,0,0,ac OFF,0.48,5.9
26,E10,57,21.5,9.0,0,0,0,ac OFF,0.33,4.1
27,E10,21,22.5,2.0,0,0,0,ac OFF,0.31,5.7
28,E10,28,21.5,3.0,0,0,0,ac OFF,0.32,5.8
29,E10,29,21.5,1.0,0,0,0,ac OFF,0.3,5.5
30,E10,35,21.5,4.0,0,0,0,ac OFF,0.31,5.7
31,E10,51,21.5,11.0,0,0,0,ac OFF,0.43,5.3
32,E10,29,21.5,10.0,0,0,0,ac OFF,0.42,5.0
33,E10,58,21.5,8.0,0,0,0,ac OFF,0.46,5.6
34,E10,40,21.5,7.0,0,0,0,ac OFF,0.15,4.8
35,E10,36,21.5,7.0,0,0,0,ac OFF,0.23,4.3
36,E10,36,21.5,8.0,0,0,0,ac OFF,0.47,5.7
37,E10,37,21.5,4.0,0,0,0,ac OFF,0.26,5.2
39,E10,23,21.5,9.0,0,0,0,ac OFF,0.41,4.8
40,E10,58,21.5,7.0,0,0,0,ac OFF,0.53,6.5
41,E10,55,21.5,7.0,ac,rain,0,rainy with ac ON,0.32,4.0
43,E10,37,21.5,6.0,0,0,0,ac OFF,0.39,4.6
44,E10,44,21.5,7.0,0,0,0,ac OFF,0.42,4.3
140,E10,24,21.5,7.0,0,rain,0,rainy with ac OFF,0.34,5.4
141,E10,40,21.5,10.0,0,rain,0,rainy with ac OFF,0.36,4.3
142,E10,58,21.5,13.0,0,0,0,ac OFF,0.44,5.4
143,E10,49,21.5,17.0,0,0,0,ac OFF,0.35,4.3
145,E10,37,21.5,10.0,0,0,0,ac OFF,0.35,4.1
146,E10,41,21.5,18.0,0,0,0,ac OFF,0.22,4.4
147,E10,45,21.5,10.0,0,0,0,ac OFF,0.22,4.5
149,E10,45,21.5,12.0,0,0,0,ac OFF,0.13,4.7
150,E10,52,21.5,5.0,0,0,0,ac OFF,0.13,4.8
151,E10,46,21.5,8.0,0,0,0,ac OFF,0.24,4.0
152,E10,28,21.5,9.0,0,0,0,ac OFF,0.51,5.0
153,E10,61,21.5,7.0,0,rain,0,rainy with ac OFF,0.2,4.6
154,E10,61,21.5,6.0,ac,rain,0,rainy with ac ON,0.29,5.0
155,E10,37,21.5,7.0,0,0,0,ac OFF,0.36,4.3
157,E10,62,21.5,8.0,0,0,0,ac OFF,0.1,4.7
158,E10,34,21.5,9.0,0,rain,0,rainy with ac OFF,0.36,4.2
159,E10,44,21.5,9.0,0,rain,0,rainy with ac OFF,0.25,5.3
160,E10,60,21.5,9.0,0,rain,0,rainy with ac OFF,0.13,5.3
162,E10,38,21.5,7.0,0,0,0,ac OFF,0.18,4.8
163,E10,71,21.5,2.0,0,0,0,ac OFF,0.1,5.1
164,E10,53,21.5,2.0,0,0,0,ac OFF,0.23,4.4
167,E10,49,21.5,5.0,0,0,0,ac OFF,0.29,4.8
168,E10,40,21.5,6.0,0,0,0,ac OFF,0.5,6.1
169,E10,36,21.5,8.0,0,0,0,ac OFF,0.22,4.6
170,E10,43,21.5,7.0,0,0,0,ac OFF,0.23,4.8
171,E10,55,21.5,6.0,0,0,0,ac OFF,0.21,4.7
172,E10,38,21.5,8.0,0,0,0,ac OFF,0.11,4.8
173,E10,51,21.5,6.0,0,0,0,ac OFF,0.12,4.4
174,E10,44,21.5,0.0,0,0,0,ac OFF,0.42,4.9
175,E10,42,21.5,6.0,0,0,0,ac OFF,0.19,4.9
176,E10,44,21.0,3.0,0,0,0,ac OFF,0.11,4.4
177,E10,38,21.0,-5.0,0,0,0,ac OFF,0.43,5.3
178,E10,47,21.0,-3.0,0,0,0,ac OFF,0.38,5.3
180,E10,29,21.0,0.0,0,0,0,ac OFF,0.32,5.2
181,E10,50,22.5,0.0,0,0,0,ac OFF,0.4,4.9
182,E10,52,22.5,0.0,ac,rain,0,rainy with ac ON,0.58,7.1
183,E10,51,22.5,1.0,0,0,0,ac OFF,0.42,5.2
184,E10,59,22.5,3.0,0,0,0,ac OFF,0.15,4.7
185,E10,55,22.5,8.0,0,0,0,ac OFF,0.41,5.1
186,E10,73,22.5,12.0,0,0,0,ac OFF,0.1,5.0
187,E10,44,22.5,10.0,0,0,0,ac OFF,0.12,4.6
188,E10,41,22.5,7.0,0,0,0,ac OFF,0.39,4.8
189,E10,69,22.0,13.0,0,0,0,ac OFF,0.05,4.4
191,E10,67,22.0,18.0,0,0,0,ac OFF,0.06,4.3
235,E10,29,22.5,10.0,0,0,0,ac OFF,0.24,4.5
236,E10,38,22.5,1.0,0,0,0,ac OFF,0.39,4.8
237,E10,55,22.5,9.0,0,0,0,ac OFF,0.2,5.0
238,E10,36,22.5,10.0,0,0,0,ac OFF,0.34,4.8
239,E10,40,22.5,2.0,0,0,0,ac OFF,0.39,4.6
240,E10,48,22.5,9.0,0,0,sun,sunny with ac OFF,0.27,4.5
241,E10,55,22.5,11.0,0,0,sun,sunny with ac OFF,0.37,4.6
242,E10,36,22.5,12.0,0,0,sun,sunny with ac OFF,0.25,4.4
243,E10,33,22.5,8.0,0,rain,0,rainy with ac OFF,0.62,5.7
244,E10,54,22.5,10.0,0,rain,0,rainy with ac OFF,0.47,5.8
245,E10,32,22.5,10.0,0,0,0,ac OFF,0.45,5.9
246,E10,16,22.5,6.0,0,rain,0,rainy with ac OFF,0.52,6.1
247,E10,37,22.5,11.0,0,rain,0,rainy with ac OFF,0.44,5.7
248,E10,42,22.5,10.0,0,0,0,ac OFF,0.41,5.0
249,E10,57,22.5,15.0,0,0,sun,sunny with ac OFF,0.42,5.2
250,E10,57,22.5,16.0,0,0,sun,sunny with ac OFF,0.34,4.3
251,E10,30,22.5,16.0,0,0,sun,sunny with ac OFF,0.13,4.1
252,E10,42,22.5,8.0,0,0,0,ac OFF,0.37,4.4
253,E10,53,22.5,14.0,0,0,0,ac OFF,0.18,4.5
254,E10,46,22.5,14.0,0,0,sun,sunny with ac OFF,0.23,3.9
256,E10,33,22.5,8.0,0,0,0,ac OFF,0.37,4.4
257,E10,31,22.5,12.0,0,0,0,ac OFF,0.68,5.0
258,E10,55,22.5,14.0,0,0,sun,sunny with ac OFF,0.38,4.7
260,E10,41,22.5,8.0,0,0,0,ac OFF,0.36,5.0
261,E10,45,22.5,7.0,0,0,0,ac OFF,0.19,5.0
262,E10,50,22.5,15.0,0,0,sun,sunny with ac OFF,0.16,3.9
263,E10,28,22.5,12.0,0,0,0,ac OFF,0.38,4.5
267,E10,40,22.0,10.0,0,0,0,ac OFF,0.25,4.0
268,E10,29,22.0,21.0,0,0,0,ac OFF,0.17,4.0
269,E10,42,22.0,8.0,0,0,0,ac OFF,0.24,3.8
270,E10,50,22.0,14.0,0,0,0,ac OFF,0.29,4.5
271,E10,41,22.0,12.0,0,0,0,ac OFF,0.24,3.8
326,E10,49,22.0,17.0,0,0,0,ac OFF,0.22,3.7
327,E10,43,22.0,24.0,0,0,0,ac OFF,0.29,4.5
328,E10,43,22.0,17.0,0,0,0,ac OFF,0.24,3.9
329,E10,21,22.0,24.0,0,0,0,ac OFF,0.33,5.1
330,E10,59,22.0,24.0,0,0,0,ac OFF,0.23,4.2
331,E10,58,22.0,25.0,0,0,0,ac OFF,0.11,4.2
332,E10,47,25.0,27.0,ac,0,sun,sunny with ac ON,0.22,4.8
335,E10,58,24.0,21.0,0,0,0,ac OFF,0.04,4.6
336,E10,43,21.5,16.0,0,0,0,ac OFF,0.23,3.8
337,E10,50,21.5,21.0,0,0,0,ac OFF,0.27,4.2
338,E10,45,22.0,17.0,0,0,0,ac OFF,0.23,3.7
339,E10,41,22.0,15.0,0,0,0,ac OFF,0.26,4.2
340,E10,45,22.0,24.0,0,0,0,ac OFF,0.27,4.1
341,E10,43,22.0,16.0,0,0,0,ac OFF,0.25,4.0
342,E10,37,22.0,21.0,0,0,0,ac OFF,0.18,3.8
343,E10,47,22.0,24.0,0,0,0,ac OFF,0.25,3.8
344,E10,42,22.0,17.0,0,0,0,ac OFF,0.24,3.8
345,E10,30,25.0,16.0,ac,rain,0,rainy with ac ON,0.32,5.1
346,E10,42,22.0,15.0,0,0,0,ac OFF,0.25,4.0
347,E10,40,22.0,18.0,0,0,0,ac OFF,0.31,4.8
348,E10,35,22.0,16.0,0,0,0,ac OFF,0.23,3.9
349,E10,50,22.0,25.0,0,0,0,ac OFF,0.28,4.6
45,SP98,32,21.5,7.0,0,0,0,ac OFF,0.61,3.3
47,SP98,32,21.5,7.0,0,0,0,ac OFF,0.36,5.1
48,SP98,25,21.5,8.0,0,0,0,ac OFF,0.31,4.9
49,SP98,25,21.5,11.0,0,0,0,ac OFF,0.42,4.9
50,SP98,36,21.5,10.0,0,0,0,ac OFF,0.17,4.7
51,SP98,29,21.5,5.0,0,rain,0,rainy with ac OFF,0.43,5.1
52,SP98,63,21.5,6.0,0,0,0,ac OFF,0.46,4.9
53,SP98,61,21.5,7.0,0,0,0,ac OFF,0.36,4.2
54,SP98,46,21.5,6.0,0,rain,0,rainy with ac OFF,0.47,6.1
57,SP98,24,21.5,7.0,0,0,0,ac OFF,0.42,4.9
58,SP98,61,21.5,8.0,0,0,0,ac OFF,0.5,6.2
59,SP98,57,21.5,8.0,0,0,0,ac OFF,0.34,4.2
60,SP98,52,21.5,8.0,0,rain,0,rainy with ac OFF,0.46,5.7
63,SP98,24,21.5,6.0,0,0,0,ac OFF,0.59,5.8
65,SP98,24,21.5,7.0,0,0,0,ac OFF,0.44,5.4
66,SP98,57,21.5,8.0,0,0,0,ac OFF,0.38,4.7
67,SP98,41,21.5,6.0,0,0,0,ac OFF,0.39,4.6
68,SP98,55,21.5,8.0,0,0,0,ac OFF,0.44,5.4
69,SP98,40,21.5,8.0,0,0,0,ac OFF,0.31,4.3
70,SP98,37,21.5,4.0,ac,0,0,ac ON,0.38,4.5
71,SP98,55,21.5,12.0,0,0,0,ac OFF,0.42,5.2
73,SP98,29,21.5,6.0,0,0,0,ac OFF,0.37,5.1
74,SP98,42,21.5,8.0,0,0,0,ac OFF,0.4,3.9
75,SP98,25,21.5,6.0,0,0,0,ac OFF,0.43,5.0
76,SP98,38,21.5,7.0,0,0,0,ac OFF,0.38,5.4
77,SP98,39,21.5,6.0,0,0,0,ac OFF,0.38,4.5
78,SP98,50,21.5,9.0,0,0,0,ac OFF,0.21,5.1
79,SP98,56,21.5,7.0,0,0,0,ac OFF,0.38,4.7
80,SP98,28,20.0,4.0,0,0,0,ac OFF,0.11,4.0
81,SP98,36,20.0,6.0,0,0,0,ac OFF,0.38,5.4
83,SP98,42,20.0,10.0,0,0,0,ac OFF,0.34,3.6
84,SP98,57,20.0,10.0,0,0,0,ac OFF,0.42,5.2
85,SP98,25,20.0,11.0,0,0,0,ac OFF,0.42,4.9
86,SP98,58,20.0,11.0,0,rain,0,rainy with ac OFF,0.5,6.2
87,SP98,51,20.0,11.0,0,rain,0,rainy with ac OFF,0.33,4.3
88,SP98,45,20.0,11.0,0,rain,0,rainy with ac OFF,0.38,5.0
89,SP98,32,20.0,11.0,0,0,0,ac OFF,0.4,5.1
90,SP98,22,20.0,8.0,0,0,0,ac OFF,0.4,5.6
91,SP98,37,20.0,6.0,0,0,0,ac OFF,0.36,4.3
92,SP98,60,20.0,11.0,0,0,0,ac OFF,0.48,5.8
93,SP98,51,20.0,13.0,0,0,0,ac OFF,0.32,4.0
94,SP98,43,20.0,10.0,0,0,0,ac OFF,0.38,4.7
95,SP98,21,20.0,9.0,ac,rain,0,rainy with ac ON,0.5,5.9
96,SP98,52,20.0,11.0,0,0,0,ac OFF,0.45,5.3
97,SP98,57,20.0,11.0,0,0,0,ac OFF,0.34,4.2
98,SP98,33,20.2,9.0,0,0,0,ac OFF,0.34,5.3
99,SP98,35,20.4,9.0,0,0,0,ac OFF,0.44,5.7
100,SP98,37,20.6,10.0,0,0,0,ac OFF,0.69,4.4
102,SP98,71,21.0,8.0,ac,rain,0,rainy with ac ON,0.22,5.8
103,SP98,62,21.0,9.0,0,rain,0,rainy with ac OFF,0.27,5.0
105,SP98,18,21.0,11.0,ac,rain,0,rainy with ac ON,0.44,5.4
106,SP98,45,20.5,7.0,0,0,0,ac OFF,0.23,5.3
109,SP98,36,21.0,4.0,0,0,0,ac OFF,0.4,4.7
110,SP98,56,21.0,7.0,0,0,0,ac OFF,0.31,5.1
111,SP98,37,21.0,7.0,0,0,0,ac OFF,0.46,5.7
112,SP98,25,21.0,7.0,0,0,0,ac OFF,0.34,5.4
114,SP98,66,20.5,7.0,0,0,0,ac OFF,0.22,4.9
115,SP98,42,20.5,7.0,0,0,0,ac OFF,0.15,4.7
117,SP98,26,23.0,4.0,0,rain,0,rainy with ac OFF,0.43,5.1
118,SP98,42,23.0,4.0,0,rain,0,rainy with ac OFF,0.26,6.0
119,SP98,38,23.0,1.0,0,rain,0,rainy with ac OFF,0.37,4.6
120,SP98,40,23.0,4.0,0,0,0,ac OFF,0.45,5.8
121,SP98,43,23.0,0.0,0,0,0,ac OFF,0.43,5.1
122,SP98,58,23.0,2.0,0,0,0,ac OFF,0.48,5.8
123,SP98,55,23.0,3.0,0,0,0,ac OFF,0.19,4.6
124,SP98,24,23.0,8.0,0,0,0,ac OFF,0.39,5.6
125,SP98,38,23.0,0.0,0,rain,0,rainy with ac OFF,0.39,4.6
126,SP98,57,23.0,0.0,0,rain,0,rainy with ac OFF,0.52,6.3
127,SP98,56,25.0,1.0,0,0,0,ac OFF,0.22,5.5
128,SP98,46,24.0,2.0,0,0,0,ac OFF,0.63,4.3
129,SP98,37,21.5,1.0,0,0,0,ac OFF,0.32,5.6
130,SP98,44,21.5,-3.0,0,0,0,ac OFF,0.36,4.3
131,SP98,46,21.5,5.0,0,0,0,ac OFF,0.36,5.7
133,SP98,33,21.5,6.0,0,0,0,ac OFF,0.28,4.5
134,SP98,43,21.5,3.0,0,0,0,ac OFF,0.38,4.5
136,SP98,30,21.5,5.0,0,0,0,ac OFF,0.29,5.1
137,SP98,25,21.5,5.0,0,rain,0,rainy with ac OFF,0.26,6.0
138,SP98,38,21.5,5.0,0,rain,0,rainy with ac OFF,0.38,4.5
139,SP98,61,21.5,10.0,0,rain,0,rainy with ac OFF,0.5,6.1
192,SP98,44,22.0,9.0,0,rain,0,rainy with ac OFF,0.11,4.7
193,SP98,43,22.0,4.0,0,0,0,ac OFF,0.35,4.2
195,SP98,61,22.0,16.0,0,0,0,ac OFF,0.11,4.1
196,SP98,41,21.5,13.0,0,0,0,ac OFF,0.38,4.5
197,SP98,63,21.5,14.0,0,0,0,ac OFF,0.12,4.8
198,SP98,54,21.5,14.0,0,0,0,ac OFF,0.16,4.6
201,SP98,43,21.5,13.0,0,0,0,ac OFF,0.25,4.9
202,SP98,42,20.25,15.0,0,0,0,ac OFF,0.17,3.8
203,SP98,44,19.0,18.0,0,0,0,ac OFF,0.33,4.5
204,SP98,33,20.75,17.0,0,0,0,ac OFF,0.33,4.1
205,SP98,28,22.5,12.0,ac,rain,0,rainy with ac ON,0.61,5.3
206,SP98,31,22.5,12.0,ac,0,0,ac ON,0.59,4.7
209,SP98,36,20.0,19.0,0,0,0,ac OFF,0.2,3.6
210,SP98,39,20.0,21.0,0,0,0,ac OFF,0.14,3.7
212,SP98,22,20.0,12.0,0,0,0,ac OFF,0.35,5.0
213,SP98,31,20.0,9.0,0,0,0,ac OFF,0.41,5.5
214,SP98,33,20.0,8.0,0,0,0,ac OFF,0.73,4.7
215,SP98,42,20.0,13.0,0,0,0,ac OFF,0.35,4.5
216,SP98,33,22.5,5.0,0,0,0,ac OFF,0.36,4.4
217,SP98,32,22.5,13.0,0,0,0,ac OFF,0.26,4.1
218,SP98,26,22.5,11.0,0,0,0,ac OFF,0.27,4.4
219,SP98,22,22.5,12.0,0,0,0,ac OFF,0.36,4.6
220,SP98,58,22.5,17.0,0,0,sun,sunny with ac OFF,0.23,4.4
221,SP98,27,22.5,12.0,0,0,0,ac OFF,0.14,4.0
222,SP98,32,22.5,9.0,0,0,0,ac OFF,0.41,5.0
223,SP98,55,22.5,10.0,0,0,0,ac OFF,0.42,5.2
224,SP98,56,22.5,11.0,0,0,0,ac OFF,0.16,4.0
225,SP98,34,22.5,8.0,0,rain,0,rainy with ac OFF,0.4,5.1
226,SP98,39,22.5,3.0,0,0,0,ac OFF,0.38,4.5
227,SP98,62,22.5,11.0,0,0,0,ac OFF,0.15,4.6
228,SP98,53,22.5,4.0,0,rain,0,rainy with ac OFF,0.27,5.1
229,SP98,38,22.5,3.0,ac,rain,0,rainy with ac ON,0.44,5.7
230,SP98,42,22.5,2.0,0,0,0,ac OFF,0.41,4.8
231,SP98,32,22.5,4.0,0,0,0,ac OFF,0.48,6.2
232,SP98,43,22.5,1.0,0,0,0,ac OFF,0.42,5.0
233,SP98,69,22.5,8.0,0,0,0,ac OFF,0.18,5.0
275,SP98,50,22.0,10.0,0,rain,0,rainy with ac OFF,0.19,4.9
276,SP98,40,22.0,10.0,0,0,0,ac OFF,0.26,4.1
277,SP98,32,22.0,19.0,0,0,0,ac OFF,0.28,4.5
278,SP98,40,22.0,7.0,ac,rain,0,rainy with ac ON,0.28,4.4
279,SP98,41,22.0,11.0,0,0,0,ac OFF,0.28,4.5
280,SP98,26,22.0,10.0,0,0,0,ac OFF,0.18,4.5
281,SP98,42,22.0,8.0,0,0,0,ac OFF,0.24,3.9
282,SP98,43,22.0,16.0,0,0,0,ac OFF,0.3,4.6
283,SP98,40,22.0,8.0,0,0,0,ac OFF,0.24,3.8
284,SP98,50,22.0,16.0,0,0,0,ac OFF,0.14,4.5
285,SP98,40,22.0,14.0,0,0,0,ac OFF,0.17,4.4
286,SP98,44,22.0,12.0,0,0,0,ac OFF,0.09,4.3
287,SP98,45,22.0,20.0,0,0,sun,sunny with ac OFF,0.11,4.0
288,SP98,35,22.0,15.0,0,0,sun,sunny with ac OFF,0.14,3.9
290,SP98,25,22.0,18.0,0,0,sun,sunny with ac OFF,0.55,4.1
291,SP98,22,22.0,25.0,0,0,sun,sunny with ac OFF,0.24,4.1
293,SP98,26,22.0,20.0,0,0,0,ac OFF,0.29,4.1
294,SP98,33,22.0,18.0,0,0,0,ac OFF,0.35,4.6
295,SP98,26,22.0,23.0,0,0,0,ac OFF,0.59,4.9
296,SP98,39,22.0,27.0,0,0,sun,sunny with ac OFF,0.35,4.5
297,SP98,47,22.0,14.0,0,0,0,ac OFF,0.25,4.1
298,SP98,38,22.0,21.0,0,0,0,ac OFF,0.2,4.1
299,SP98,58,22.0,16.0,0,0,0,ac OFF,0.28,4.5
300,SP98,65,25.0,18.0,ac,0,sun,sunny with ac ON,0.22,4.2
301,SP98,54,23.0,18.0,0,0,sun,sunny with ac OFF,0.11,3.9
302,SP98,35,22.0,15.0,ac,0,sun,sunny with ac ON,0.26,5.0
303,SP98,46,22.0,5.0,ac,0,0,ac ON,0.27,4.4
304,SP98,32,22.0,18.0,ac,0,0,ac ON,0.15,4.5
305,SP98,42,22.0,11.0,0,0,0,ac OFF,0.24,3.8
306,SP98,33,22.0,10.0,0,rain,0,rainy with ac OFF,0.24,5.1
307,SP98,40,22.0,10.0,0,0,0,ac OFF,0.24,3.9
308,SP98,34,22.0,13.0,0,0,0,ac OFF,0.45,5.3
309,SP98,35,22.0,16.0,0,0,0,ac OFF,0.42,4.2
310,SP98,33,22.0,16.0,0,0,0,ac OFF,0.13,4.3
311,SP98,60,22.0,13.0,0,0,0,ac OFF,0.21,4.0
312,SP98,48,22.0,17.0,0,0,sun,sunny with ac OFF,0.44,4.7
313,SP98,56,22.0,17.0,0,0,sun,sunny with ac OFF,0.2,4.0
314,SP98,38,22.0,17.0,0,0,0,ac OFF,0.38,4.3
315,SP98,53,22.0,15.0,0,0,0,ac OFF,0.46,5.3
316,SP98,51,22.0,13.0,0,0,0,ac OFF,0.24,5.2
317,SP98,53,22.0,15.0,0,0,0,ac OFF,0.15,4.9
318,SP98,53,22.0,14.0,0,0,0,ac OFF,0.11,4.7
321,SP98,27,22.0,27.0,0,0,sun,sunny with ac OFF,0.14,3.6
322,SP98,52,22.0,15.0,0,rain,0,rainy with ac OFF,0.25,4.2
323,SP98,43,22.0,24.0,0,0,0,ac OFF,0.16,4.1
324,SP98,48,22.0,15.0,0,0,0,ac OFF,0.24,4.0
325,SP98,29,22.0,26.0,0,0,0,ac OFF,0.18,3.9
350,SP98,46,22.0,16.0,0,0,0,ac OFF,0.23,4.3
351,SP98,36,22.0,18.0,0,rain,0,rainy with ac OFF,0.3,4.8
352,SP98,46,22.0,17.0,0,0,0,ac OFF,0.26,4.1
353,SP98,35,22.0,23.0,0,0,0,ac OFF,0.25,4.0
354,SP98,44,22.0,16.0,0,0,0,ac OFF,0.23,3.7
355,SP98,46,22.0,23.0,0,0,0,ac OFF,0.23,4.3
357,SP98,48,22.0,16.0,0,0,0,ac OFF,0.25,4.2
360,SP98,36,22.0,22.0,0,0,0,ac OFF,0.24,4.2
362,SP98,45,22.0,15.0,0,0,0,ac OFF,0.26,4.1
363,SP98,55,22.0,18.0,0,0,0,ac OFF,0.32,4.9
364,SP98,39,22.0,23.0,0,0,0,ac OFF,0.28,4.3
365,SP98,35,22.0,18.0,0,0,0,ac OFF,0.24,3.9
366,SP98,52,22.0,26.0,0,0,0,ac OFF,0.29,4.5
367,SP98,48,25.5,30.0,ac,0,sun,sunny with ac ON,0.25,4.1
368,SP98,48,25.5,31.0,ac,0,0,ac ON,0.32,5.0
369,SP98,43,22.0,21.0,ac,0,0,ac ON,0.25,4.0
370,SP98,42,22.0,30.0,0,0,0,ac OFF,0.29,4.5
371,SP98,43,22.0,19.0,0,0,0,ac OFF,0.22,3.6
372,SP98,33,22.0,21.0,0,0,0,ac OFF,0.2,4.1
373,SP98,47,22.0,26.0,0,0,0,ac OFF,0.12,3.9
374,SP98,16,24.0,27.0,ac,0,0,ac ON,0.43,6.6
375,SP98,44,25.0,23.0,ac,0,0,ac ON,0.14,4.0
376,SP98,33,25.0,19.0,0,0,0,ac OFF,0.31,3.7
377,SP98,36,25.0,22.0,0,0,0,ac OFF,0.3,4.3
378,SP98,49,22.0,26.0,0,0,sun,sunny with ac OFF,0.25,4.1
379,SP98,39,24.5,17.0,ac,0,0,ac ON,0.27,4.4
380,SP98,44,24.5,23.0,0,0,sun,sunny with ac OFF,0.23,3.8
381,SP98,52,24.5,27.0,0,0,0,ac OFF,0.6,5.0
382,SP98,33,24.5,28.0,0,0,sun,sunny with ac OFF,0.67,3.7
383,SP98,33,24.5,28.0,0,0,sun,sunny with ac OFF,0.27,3.7
384,SP98,39,24.5,18.0,0,0,0,ac OFF,0.23,3.7
385,SP98,38,25.0,31.0,ac,0,0,ac ON,0.27,4.3
386,SP98,45,25.0,19.0,0,0,0,ac OFF,0.24,3.8
387,SP98,42,25.0,31.0,ac,0,0,ac ON,0.3,4.6
388,SP98,25,25.0,30.0,ac,0,0,ac ON,0.34,5.0
